,bat,
,brightnessctl,
,cmatrix,
,curl,
,ffmpeg,
,fish,Оболочка терминала
,freerdp2,
,fzf,
,gnupg,
,grep,
,grim,
,hyprland,тайловый оконный менеджер
,hyprpaper,
,imagemagick,
,kitty,
,mako,
,mpv,
,neovim,Текстовый редактор
,networkmanager,
,openssh,
,pipewire,
,pipewire-alsa,
,pipewire-audio,
,pipewire-jack,
,pipewire-pulse,
,playerctl,
,pulsemixer,
,python,
,python-pywal,
,qutebrowser,
,rofi,
,rsync,
,slurp,
,swaync,
,tailscale,
,telegram-desktop,
,tesseract,
,tesseract-data-eng,
,tesseract-data-rus,
,ttf-firacode-nerd,
,waybar,
,waylock,
,wl-clipboard,
,yazi,
,yt-dlp,
,zathura,
,zathura-djvu,
,zathura-pdf-mupdf,
,zathura-ps,
A,htop-vim-git,Монитор процессов
A,peaclock,
A,ttf-noto-emoji-monochrome,
